2 pontos - 02/06/2025 23:07:30
1 pontos - 07/06/2025 13:40:41
0 pontos - 07/06/2025 13:49:33
2 pontos - 07/06/2025 13:59:17
0 pontos - 07/06/2025 14:14:25
0 pontos - 07/06/2025 14:15:35
0 pontos - 07/06/2025 14:17:25
0 pontos - 07/06/2025 14:19:12
0 pontos - 07/06/2025 14:19:38
0 pontos - 07/06/2025 14:22:03
6 pontos - 07/06/2025 14:29:35
6 pontos - 07/06/2025 14:33:30
12 pontos - 07/06/2025 14:36:30
12 pontos - 07/06/2025 14:41:21
10 pontos - 07/06/2025 14:43:49
1 pontos - 07/06/2025 15:04:27
1 pontos - 07/06/2025 15:05:22
0 pontos - 07/06/2025 15:10:29
0 pontos - 07/06/2025 15:17:17
1 pontos - 07/06/2025 15:20:48
17 pontos - 07/06/2025 15:26:30
4 pontos - 07/06/2025 16:33:58
11 pontos - 07/06/2025 16:37:57
4 pontos - 07/06/2025 16:40:28
1 pontos - 07/06/2025 16:43:20
5 pontos - 08/06/2025 10:55:32
10 pontos - 08/06/2025 11:05:01
4 pontos - 08/06/2025 11:08:55
3 pontos - 08/06/2025 11:15:05
0 pontos - 08/06/2025 11:38:33
0 pontos - 08/06/2025 14:08:46
0 pontos - 08/06/2025 14:11:36
0 pontos - 08/06/2025 14:13:46
0 pontos - 08/06/2025 14:15:21
0 pontos - 08/06/2025 14:18:49
0 pontos - 08/06/2025 14:21:35
0 pontos - 08/06/2025 14:22:33
0 pontos - 08/06/2025 14:25:03
0 pontos - 08/06/2025 14:27:27
0 pontos - 08/06/2025 14:31:54
0 pontos - 08/06/2025 14:33:09
0 pontos - 08/06/2025 14:40:22
0 pontos - 08/06/2025 14:42:35
0 pontos - 08/06/2025 14:43:41
0 pontos - 08/06/2025 14:50:44
0 pontos - 08/06/2025 14:56:13
0 pontos - 08/06/2025 15:00:53
0 pontos - 08/06/2025 15:03:44
0 pontos - 08/06/2025 15:05:10
0 pontos - 08/06/2025 15:05:34
0 pontos - 08/06/2025 15:08:18
0 pontos - 08/06/2025 15:09:59
0 pontos - 08/06/2025 15:11:43
0 pontos - 08/06/2025 15:15:51
0 pontos - 08/06/2025 15:16:25
0 pontos - 08/06/2025 15:19:00
0 pontos - 08/06/2025 15:22:11
0 pontos - 08/06/2025 15:24:38
0 pontos - 08/06/2025 15:28:21
0 pontos - 08/06/2025 15:30:56
0 pontos - 08/06/2025 15:32:56
206 pontos - 08/06/2025 15:40:21
96 pontos - 08/06/2025 15:47:30
13 pontos - 08/06/2025 16:13:08
3 pontos - 08/06/2025 16:17:02
36 pontos - 08/06/2025 16:23:07
51 pontos - 08/06/2025 16:34:32
93 pontos - 08/06/2025 19:26:46
6 pontos - 08/06/2025 19:27:35
0 pontos - 08/06/2025 19:27:55
93 pontos - 08/06/2025 19:29:31
313 pontos - 08/06/2025 20:23:45
126 pontos - 08/06/2025 20:55:37
234 pontos - 08/06/2025 23:07:31
89 pontos - 10/06/2025 23:53:46
